,Unnamed: 0,Orden,Expediente,Caratula,Fecha
64,64,65,478/17,V.................... S/VIOLENCIA FAMILIAR (DENUNCIA,17-12-2021
65,65,1,417/20,A.................... S/CONTROL DE LEGALIDAD,02-02-2022
66,66,2,371/20,A.................... S/PROTECCION INTEGRAL,02-02-2022
67,67,3,264/20,A.................... S/VIOLENCIA FAMILIAR,02-02-2022
68,68,4,398/20,B.................... S/VIOLENCIA FAMILIAR,02-02-2022
69,69,5,373/21-S,C.................... S/CONTROL DE LEGALIDAD,02-02-2022
70,70,6,11/20,C.................... S/ELEVA ACTUACIONES,02-02-2022
71,71,7,668/18,C.................... S/ELEVA ACTUACIONES,02-02-2022
72,72,8,1385/18,D.................... S/VIOLENCIA FAMILIAR,02-02-2022
73,73,9,263/21-S,G.................... S/VIOLENCIA DE GENERO,02-02-2022
74,74,10,73/20,G.................... S/VIOLENCIA FAMILIAR,02-02-2022
75,75,11,238/18,G.................... S/VIOLENCIA FAMILIAR (DENUNCIA,02-02-2022
76,76,12,231/20,J.................... S/ELEVA ACTUACIONES,02-02-2022
77,77,13,904/20,J.................... S/VIOLENCIA DE GENERO,02-02-2022
78,78,14,266/17,K.................... S/VIOLENCIA FAMILIAR (DENUNCIA,02-02-2022
79,79,15,355/21-S,M.................... S/PROTECCION INTEGRAL,02-02-2022
80,80,16,617/20,M.................... S/VIOLENCIA FAMILIAR,02-02-2022
81,81,17,130/21-S,N.................... S/PRESENTACION,02-02-2022
82,82,18,182/20,N.................... S/VIOLENCIA FAMILIAR (DENUNCIA,02-02-2022
83,83,19,754/16,S.................... S/VIOLENCIA FAMILIAR (DENUNCIA,02-02-2022
84,84,20,362/20,T.................... S/CONTROL DE LEGALIDAD,02-02-2022
85,85,1,330/03,A.................... S/.FILIACION,03-02-2022
86,86,2,1072/14,A.................... S/ALIMENTOS,03-02-2022
87,87,3,466/19,A.................... S/ALIMENTOS,03-02-2022
88,88,4,570/17,A.................... S/ALIMENTOS,03-02-2022
89,89,5,712/19,A.................... S/MEDIDA CAUTELAR,03-02-2022
90,90,6,828/19,A.................... S/VIOLENCIA FAMILIAR,03-02-2022
91,91,7,08/20,A.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,03-02-2022
92,92,8,1238/19,B.................... S/ALIMENTOS,03-02-2022
93,93,9,534/18,B.................... S/INCIDENTE,03-02-2022
94,94,10,1189/19,C.................... S/ALIMENTOS,03-02-2022
95,95,11,11/20,C.................... S/ELEVA ACTUACIONES,03-02-2022
96,96,12,630/20,C.................... S/ELEVA ACTUACIONES,03-02-2022
97,97,13,668/18,C.................... S/ELEVA ACTUACIONES,03-02-2022
98,98,14,537/18,C.................... S/PROTECCION DE PERSONA,03-02-2022
99,99,15,230/20,C.................... S/VIOLENCIA FAMILIAR,03-02-2022
100,100,16,1924/18,C.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-02-2022
101,101,17,259/21-C,D.................... S/ALIMENTOS,03-02-2022
102,102,18,332/21-C,D.................... S/EJECUCION DE HONORARIOS,03-02-2022
103,103,19,269/06-JC,F.................... S/.FILIACION,03-02-2022
104,104,20,524/16,F.................... S/FILIACION Y DAÑO MORAL,03-02-2022
105,105,21,290/21-C,F.................... S/HOMOLOGACION DE CONVENIO,03-02-2022
106,106,22,280/20,F.................... S/RECTIFICACION DE PARTIDA,03-02-2022
107,107,23,11/17,F.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-02-2022
108,108,24,281/21-C,G.................... S/LIQUIDACION SOCIEDAD CONYUGAL,03-02-2022
109,109,25,365/21-S,J.................... S/ELEVA ACTUACIONES,03-02-2022
110,110,26,570/20,J.................... S/ELEVA ACTUACIONES,03-02-2022
111,111,27,1321/18,K.................... S/BENEFICIO DE LITIGAR SIN GASTOS,03-02-2022
112,112,28,924/18,K.................... S/FILIACION,03-02-2022
113,113,29,06/20,K.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-02-2022
114,114,30,1499/19,L.................... S/BENEFICIO DE LITIGAR SIN GASTOS,03-02-2022
115,115,31,662/20,L.................... S/CONTROL DE LEGALIDAD,03-02-2022
116,116,32,873/20,L.................... S/CONTROL DE LEGALIDAD,03-02-2022
117,117,33,811/19,L.................... S/FILIACION,03-02-2022
118,118,34,280/21-C,L.................... S/INCIDENTE DE CESACION DE CUOTA,03-02-2022
119,119,35,1452/19,L.................... S/INCIDENTE DE MODIFICACION DE,03-02-2022
120,120,36,1241/19,M.................... S/ADOPCION SIMPLE,03-02-2022
121,121,37,864/20,M.................... S/MEDIDA CAUTELAR,03-02-2022
122,122,38,1002/19,N.................... S/HOMOLOGACION DE CONVENIO,03-02-2022
123,123,39,985/20,P.................... S/DIVORCIO,03-02-2022
124,124,40,306/21-C,P.................... S/MEDIDA CAUTELAR,03-02-2022
125,125,41,678/19,P.................... S/PROTECCION INTEGRAL,03-02-2022
126,126,42,1192/16,P.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-02-2022
127,127,43,852/14,Q.................... S/FILIACION Y DAÑO MORAL,03-02-2022
128,128,44,1983/18,R.................... S/GUARDA JUDICIAL,03-02-2022
129,129,45,02/22-S,R.................... S/VIOLENCIA DE GENERO,03-02-2022
130,130,46,703/20,R.................... S/VIOLENCIA DE GENERO,03-02-2022
131,131,47,1547/18,R.................... S/VIOLENCIA FAMILIAR,03-02-2022
132,132,48,873/13,R.................... S/VIOLENCIA FAMILIAR (ART.61 COD. DE,03-02-2022
133,133,49,1187/13,S.................... S/ALIMENTOS,03-02-2022
134,134,50,776/12,S.................... S/DIVORCIO VINCULAR POR MUTUO,03-02-2022
135,135,51,61/14,S.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,03-02-2022
136,136,52,46/16,V.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,03-02-2022
137,137,53,1732/19,Z.................... S/DIVORCIO,03-02-2022
138,138,1,623/06 JC,A.................... S/.DECLARACION DE INCAPACIDAD,09-02-2022
139,139,2,930/06-JC,A.................... S/.JUICIO DE INCAPACIDAD,09-02-2022
140,140,3,1218/18,A.................... S/GUARDA JUDICIAL,09-02-2022
141,141,4,238/20,A.................... S/HOMOLOGACION DE CONVENIO,09-02-2022
142,142,5,380/21-C,A.................... S/MEDIDA CAUTELAR,09-02-2022
143,143,6,11/22-S,A.................... S/PROTECCION INTEGRAL,09-02-2022
144,144,7,378/05-JC,B.................... S/.JUICIO DE INCAPACIDAD,09-02-2022
145,145,8,165/20,C.................... S/ELEVA ACTUACIONES,09-02-2022
146,146,9,376/20,C.................... S/ELEVA ACTUACIONES,09-02-2022
147,147,10,390/16,C.................... S/ELEVA ACTUACIONES,09-02-2022
148,148,11,787/20,C.................... S/ELEVA ACTUACIONES,09-02-2022
149,149,12,719/18,C.................... S/IMPUGNACION DE PATERNIDAD,09-02-2022
150,150,13,451/16,C.................... S/INCIDENTE,09-02-2022
151,151,14,467/16,C.................... S/INCIDENTE,09-02-2022
152,152,15,530/06-JC,D.................... S/.JUICIO DE INCAPACIDAD,09-02-2022
153,153,16,1160/17,D.................... S/EJECUCION DE SENTENCIA,09-02-2022
154,154,17,120/21-S,D.................... S/PROTECCION INTEGRAL,09-02-2022
155,155,18,832/05-JC,E.................... S/.JUICIO DE INCAPACIDAD,09-02-2022
156,156,19,533/06-JC,F.................... S/.JUICIO DE INCAPACIDAD,09-02-2022
157,157,20,1045/16,F.................... S/VIOLENCIA FAMILIAR (DENUNCIA,09-02-2022
158,158,21,254/17,G.................... S/INCIDENTE,09-02-2022
159,159,22,374/14,G.................... S/INCIDENTE,09-02-2022
160,160,23,433/16,G.................... S/INCIDENTE,09-02-2022
161,161,24,306/21-S,G.................... S/VIOLENCIA DE GENERO,09-02-2022
162,162,25,124/20,J.................... S/ELEVA ACTUACIONES,09-02-2022
163,163,26,680/20,J.................... S/ELEVA ACTUACIONES,09-02-2022
164,164,27,1518/19,M.................... S/HOMOLOGACION DE CONVENIO,09-02-2022
165,165,28,365/20,M.................... S/VIOLENCIA FAMILIAR,09-02-2022
166,166,29,307/20,M.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,09-02-2022
167,167,30,455/16,R.................... S/INCIDENTE,09-02-2022
168,168,31,107/21-C,R.................... S/MEDIDA CAUTELAR,09-02-2022
169,169,32,839/18,R.................... S/PROTECCION INTEGRAL,09-02-2022
170,170,33,02/22-S,R.................... S/VIOLENCIA DE GENERO,09-02-2022
171,171,34,435/06-JC,S.................... S/.DECLARACION DE INCAPACIDAD,09-02-2022
172,172,35,964/06-JC,S.................... S/.DECLARACION DE INCAPACIDAD,09-02-2022
173,173,36,370/21-S,S.................... S/VIOLENCIA DE GENERO,09-02-2022
174,174,37,617/17,S.................... S/VIOLENCIA FAMILIAR (DENUNCIA,09-02-2022
175,175,38,185/21-S,V.................... S/PROTECCION INTEGRAL,09-02-2022
176,176,39,532/17,V.................... S/VIOLENCIA FAMILIAR,09-02-2022
177,177,40,370/19,Y.................... S/DECLARACION DE ADOPTABILIDAD,09-02-2022
178,178,1,853/20,A.................... S/INCIDENTE DE CESACION DE CUOTA,10-02-2022
179,179,2,1158/15,A.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,10-02-2022
180,180,3,469/06-JC,B.................... S/.DECLARACION DE INCAPACIDAD,10-02-2022
181,181,4,1628/18,B.................... S/CARTA DE POBREZA,10-02-2022
182,182,5,344/16,B.................... S/DERECHO Y DEBER DE COMUNICACION,10-02-2022
183,183,6,184/21-C,B.................... S/EJECUCION DE SENTENCIA,10-02-2022
184,184,7,435/16,B.................... S/INCIDENTE,10-02-2022
185,185,8,639/20,C.................... S/DIVORCIO,10-02-2022
186,186,9,18/22-S,C.................... S/ELEVA ACTUACIONES,10-02-2022
187,187,10,1087/19,C.................... S/HOMOLOGACION DE CONVENIO,10-02-2022
188,188,11,176/16,C.................... S/INCIDENTE,10-02-2022
189,189,12,09/22-S,C.................... S/VIOLENCIA DE GENERO,10-02-2022
190,190,13,663/18,C.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,10-02-2022
191,191,14,1502/19,D.................... S/DECLARACION DE ADOPTABILIDAD,10-02-2022
192,192,15,20/22-S,D.................... S/ELEVA ACTUACIONES,10-02-2022
193,193,16,240/21-OF,D.................... S/OFICIO,10-02-2022
194,194,17,148/19,F.................... S/DECLARACION DE ADOPTABILIDAD,10-02-2022
195,195,18,290/21-C,F.................... S/HOMOLOGACION DE CONVENIO,10-02-2022
196,196,19,1790/18,F.................... S/PROTECCION INTEGRAL,10-02-2022
197,197,20,21/22-S,F.................... S/PROTECCION INTEGRAL,10-02-2022
198,198,21,202/20,G.................... S/VIOLENCIA FAMILIAR,10-02-2022
199,199,22,304/20,G.................... S/VIOLENCIA FAMILIAR,10-02-2022
200,200,23,238/18,G.................... S/VIOLENCIA FAMILIAR (DENUNCIA,10-02-2022
201,201,24,1309/18,H.................... S/INCIDENTE,10-02-2022
202,202,25,604/05-JC,I.................... S/.JUICIO DE INCAPACIDAD,10-02-2022
203,203,26,767/04,J.................... S/.DECLARACION DE INCAPACIDAD,10-02-2022
204,204,27,27/22-S,J.................... S/VIOLENCIA DE GENERO,10-02-2022
205,205,28,904/20,J.................... S/VIOLENCIA DE GENERO,10-02-2022
206,206,29,266/17,K.................... S/VIOLENCIA FAMILIAR (DENUNCIA,10-02-2022
207,207,30,246/21-C,L.................... S/INCIDENTE DE REMOCION DE CURADOR,10-02-2022
208,208,31,03/22-S,L.................... S/VIOLENCIA DE GENERO,10-02-2022
209,209,32,10/22-S,L.................... S/VIOLENCIA FAMILIAR,10-02-2022
210,210,33,1005/15,M.................... S/ALIMENTOS,10-02-2022
211,211,34,120/18,M.................... S/ALIMENTOS,10-02-2022
212,212,35,848/20,M.................... S/CONTROL DE LEGALIDAD,10-02-2022
213,213,36,341/21-C,N.................... S/MEDIDA CAUTELAR,10-02-2022
214,214,37,1970/18,O.................... S/DIVORCIO,10-02-2022
215,215,38,803/20,P.................... S/VIOLENCIA DE GENERO,10-02-2022
216,216,39,19/22-S,Q.................... S/PROTECCION INTEGRAL,10-02-2022
217,217,40,28/22-S,Q.................... S/PROTECCION INTEGRAL,10-02-2022
218,218,41,1756/19,Q.................... S/VIOLENCIA FAMILIAR,10-02-2022
219,219,42,142/21-C,R.................... S/BENEFICIO DE LITIGAR SIN GASTOS,10-02-2022
220,220,43,252/21-C,R.................... S/MEDIDA CAUTELAR,10-02-2022
221,221,44,1517/18,R.................... S/VIOLENCIA FAMILIAR (DENUNCIA,10-02-2022
222,222,45,639/06-JC,S.................... S/.DECLARACION DE INCAPACIDAD,10-02-2022
223,223,46,17/22-C,S.................... S/HOMOLOGACION DE CONVENIO,10-02-2022
224,224,47,457/16,S.................... S/INCIDENTE,10-02-2022
225,225,48,805/16,S.................... S/INCIDENTE,10-02-2022
226,226,49,1148/18,S.................... S/PROTECCION INTEGRAL,10-02-2022
227,227,50,611/06-JC,S.................... S/RESTRICCION DE LA CAPACIDAD,10-02-2022
228,228,51,604/20,S.................... S/VIOLENCIA DE GENERO,10-02-2022
229,229,52,354/20,S.................... S/VIOLENCIA FAMILIAR,10-02-2022
230,230,53,619/20,S.................... S/VIOLENCIA FAMILIAR,10-02-2022
231,231,54,788/20,V.................... S/DIVORCIO,10-02-2022
232,232,1,14/22-S,A.................... S/CONTROL DE LEGALIDAD,14-02-2022
233,233,2,280/21-S,A.................... S/CONTROL DE LEGALIDAD,14-02-2022
234,234,3,312/21-S,A.................... S/CONTROL DE LEGALIDAD,14-02-2022
235,235,4,556/19,A.................... S/INCIDENTE,14-02-2022
236,236,5,37/22-S,A.................... S/PROTECCION INTEGRAL,14-02-2022
237,237,6,36/22-S,A.................... S/VIOLENCIA DE GENERO,14-02-2022
238,238,7,146/20,A.................... S/VIOLENCIA FAMILIAR,14-02-2022
239,239,8,1673/18,A.................... S/VIOLENCIA FAMILIAR,14-02-2022
240,240,9,1009/17,A.................... S/VIOLENCIA FAMILIAR (ART.61 COD. DE,14-02-2022
241,241,10,796/20,C.................... S/ELEVA ACTUACIONES,14-02-2022
242,242,11,989/19,C.................... S/ELEVA ACTUACIONES,14-02-2022
243,243,12,1159/16,C.................... S/INCIDENTE,14-02-2022
244,244,13,1160/16,C.................... S/INCIDENTE,14-02-2022
245,245,14,1242/19,C.................... S/INCIDENTE,14-02-2022
246,246,15,200/16,C.................... S/INCIDENTE,14-02-2022
247,247,16,40/22-S,C.................... S/PROTECCION INTEGRAL,14-02-2022
248,248,17,831/19,C.................... S/VIOLENCIA FAMILIAR,14-02-2022
249,249,18,429/19,C.................... S/VIOLENCIA FAMILIAR (DENUNCIA,14-02-2022
250,250,19,1889/19,D.................... S/EJECUCION DE HONORARIOS,14-02-2022
251,251,20,53/21-C,D.................... S/EJECUCION DE HONORARIOS,14-02-2022
252,252,21,15/22-S,D.................... S/ELEVA ACTUACIONES,14-02-2022
253,253,22,02/22-OF,D.................... S/OFICIO,14-02-2022
254,254,23,03/22-OF,D.................... S/OFICIO,14-02-2022
255,255,24,01/22-C,D.................... S/PRESENTACION,14-02-2022
256,256,25,637/16,F.................... S/INCIDENTE,14-02-2022
257,257,26,639/16,F.................... S/INCIDENTE,14-02-2022
258,258,27,320/21-S,F.................... S/VIOLENCIA DE GENERO,14-02-2022
259,259,28,597/20,F.................... S/VIOLENCIA FAMILIAR,14-02-2022
260,260,29,803/16,F.................... S/VIOLENCIA FAMILIAR (DENUNCIA,14-02-2022
261,261,30,636/16,G.................... S/INCIDENTE,14-02-2022
262,262,31,26/22-S,G.................... S/VIOLENCIA DE GENERO,14-02-2022
263,263,32,912/20,G.................... S/VIOLENCIA FAMILIAR,14-02-2022
264,264,33,1253/18,I.................... S/PROTECCION INTEGRAL,14-02-2022
265,265,34,212/20,J.................... S/ELEVA ACTUACIONES,14-02-2022
266,266,35,449/11-JC,L.................... S/FILIACION Y DAÑO MORAL,14-02-2022
267,267,36,517/20,M.................... S/HOMOLOGACION DE CONVENIO,14-02-2022
268,268,37,201/16,M.................... S/INCIDENTE,14-02-2022
269,269,38,691/16,M.................... S/INCIDENTE,14-02-2022
270,270,39,617/20,M.................... S/VIOLENCIA FAMILIAR,14-02-2022
271,271,40,779/20,O.................... S/ALIMENTOS,14-02-2022
272,272,41,72/18,P.................... S/VIOLENCIA FAMILIAR,14-02-2022
273,273,42,203/16,Q.................... S/INCIDENTE,14-02-2022
274,274,43,436/16,R.................... S/INCIDENTE,14-02-2022
275,275,44,452/16,R.................... S/INCIDENTE,14-02-2022
276,276,45,433/14,S.................... S/INCIDENTE,14-02-2022
277,277,46,472/16,S.................... S/INCIDENTE,14-02-2022
278,278,47,77/17,S.................... S/TERCERIA DE DOMINIO,14-02-2022
279,279,48,97/17,S.................... S/TERCERIA DE DOMINIO,14-02-2022
280,280,49,862/09-JC,T.................... S/.EJECUCION DE SENTENCIA,14-02-2022
281,281,50,260/21-C,T.................... S/EJECUCION DE SENTENCIA,14-02-2022
282,282,51,29/11-JC,T.................... S/EJECUCION DE SENTENCIA,14-02-2022
283,283,52,694/16,U.................... S/INCIDENTE,14-02-2022
284,284,53,473/16,V.................... S/INCIDENTE,14-02-2022
285,285,54,462/16,Z.................... S/INCIDENTE,14-02-2022
286,286,55,35/22-S,Z.................... S/VIOLENCIA DE GENERO,14-02-2022
287,287,56,198/17,Z.................... S/VIOLENCIA FAMILIAR,14-02-2022
288,288,1,768/07-JC,A.................... S/.JUICIO DE INCAPACIDAD,15-02-2022
289,289,2,695/20,A.................... S/DIVORCIO,15-02-2022
290,290,3,1192/18,A.................... S/PROTECCION INTEGRAL,15-02-2022
291,291,4,37/22-S,A.................... S/PROTECCION INTEGRAL,15-02-2022
292,292,5,340/21-C,B.................... S/INFORMACION SUMARIA,15-02-2022
293,293,6,1121/18,B.................... S/PROTECCION INTEGRAL,15-02-2022
294,294,7,377/20,B.................... S/VIOLENCIA DE GENERO,15-02-2022
295,295,8,50/10-JC,C.................... S/.JUICIO DE INCAPACIDAD,15-02-2022
296,296,9,309/11-JC,C.................... S/DECLARACION DE INCAPACIDAD,15-02-2022
297,297,10,262/20,C.................... S/ELEVA ACTUACIONES,15-02-2022
298,298,11,399/20,C.................... S/ELEVA ACTUACIONES,15-02-2022
299,299,12,989/19,C.................... S/ELEVA ACTUACIONES,15-02-2022
300,300,13,499/18,C.................... S/FILIACION,15-02-2022
301,301,14,1480/19,C.................... S/MEDIDA CAUTELAR,15-02-2022
302,302,15,448/20,C.................... S/VIOLENCIA FAMILIAR,15-02-2022
303,303,16,218/09-JC,D.................... S/.JUICIO DE INCAPACIDAD,15-02-2022
304,304,17,1426/19,D.................... S/EJECUCION DE HONORARIOS,15-02-2022
305,305,18,166/21-C,D.................... S/EJECUCION DE HONORARIOS,15-02-2022
306,306,19,175/21-C,D.................... S/EJECUCION DE HONORARIOS,15-02-2022
307,307,20,04/22-C,D.................... S/LIQUIDACION SOCIEDAD CONYUGAL,15-02-2022
308,308,21,29/22-C,D.................... S/PRESENTACION,15-02-2022
309,309,22,120/21-S,D.................... S/PROTECCION INTEGRAL,15-02-2022
310,310,23,826/12,E.................... S/ALIMENTOS,15-02-2022
311,311,24,634/16,E.................... S/INCIDENTE,15-02-2022
312,312,25,1841/19,F.................... S/PROTECCION INTEGRAL,15-02-2022
313,313,26,408/09-JC,G.................... S/.JUICIO DE INCAPACIDAD,15-02-2022
314,314,27,281/21-C,G.................... S/LIQUIDACION SOCIEDAD CONYUGAL,15-02-2022
315,315,28,18/18,G.................... S/PROTECCION INTEGRAL,15-02-2022
316,316,29,1456/19,G.................... S/VIOLENCIA FAMILIAR,15-02-2022
317,317,30,200/09-JC,H.................... S/.JUICIO DE INCAPACIDAD,15-02-2022
318,318,31,261/10-JC,J.................... S/DECLARACION DE INCAPACIDAD,15-02-2022
319,319,32,04/22-OF,J.................... S/OFICIO,15-02-2022
320,320,33,904/20,J.................... S/VIOLENCIA DE GENERO,15-02-2022
321,321,34,1199/18,L.................... S/PROTECCION INTEGRAL,15-02-2022
322,322,35,39/22-S,L.................... S/VIOLENCIA DE GENERO,15-02-2022
323,323,36,901/20,L.................... S/VIOLENCIA DE GENERO,15-02-2022
324,324,37,310/12,M.................... S/DECLARACION DE INCAPACIDAD,15-02-2022
325,325,38,1518/19,M.................... S/HOMOLOGACION DE CONVENIO,15-02-2022
326,326,39,438/16,M.................... S/INCIDENTE,15-02-2022
327,327,40,18/22-C,M.................... S/MEDIDA CAUTELAR,15-02-2022
328,328,41,34/18,M.................... S/PROTECCION INTEGRAL,15-02-2022
329,329,42,32/22-S,M.................... S/VIOLENCIA DE GENERO,15-02-2022
330,330,43,45/22-S,M.................... S/VIOLENCIA DE GENERO,15-02-2022
331,331,44,244/20,N.................... S/HOMOLOGACION DE CONVENIO,15-02-2022
332,332,45,534/16,N.................... S/PROTECCION INTEGRAL,15-02-2022
333,333,46,472/09-JC,O.................... S/DECLARACION DE INCAPACIDAD,15-02-2022
334,334,47,501/10-JC,O.................... S/DECLARACION DE INCAPACIDAD,15-02-2022
335,335,48,08/17,O.................... S/VIOLENCIA FAMILIAR (DENUNCIA,15-02-2022
336,336,49,271/10-JC,P.................... S/GUARDA JUDICIAL,15-02-2022
337,337,50,243/20,P.................... S/HOMOLOGACION DE CONVENIO,15-02-2022
338,338,51,565/20,Q.................... S/MEDIDA CAUTELAR,15-02-2022
339,339,52,1364/18,Q.................... S/VIOLENCIA FAMILIAR,15-02-2022
340,340,53,1756/19,Q.................... S/VIOLENCIA FAMILIAR,15-02-2022
341,341,54,378/17,Q.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,15-02-2022
342,342,55,414/08-JC,R.................... S/.JUICIO DE INCAPACIDAD,15-02-2022
343,343,56,371/21-C,R.................... S/ALIMENTOS,15-02-2022
344,344,57,168/09-JC,R.................... S/DECLARACION DE INCAPACIDAD,15-02-2022
345,345,58,499/10-JC,R.................... S/DECLARACION DE INCAPACIDAD,15-02-2022
346,346,59,866/18,R.................... S/DIVORCIO,15-02-2022
347,347,60,1083/16,R.................... S/GUARDA JUDICIAL,15-02-2022
348,348,61,08/22-C,R.................... S/INFORMACION SUMARIA,15-02-2022
349,349,62,132/18,R.................... S/PROTECCION DE PERSONA,15-02-2022
350,350,63,446/20,R.................... S/PROTECCION DE PERSONA,15-02-2022
351,351,64,661/20,R.................... S/VIOLENCIA FAMILIAR,15-02-2022
352,352,65,249/18,R.................... S/VIOLENCIA FAMILIAR (DENUNCIA,15-02-2022
353,353,66,411/15,S.................... S/INCIDENTE,15-02-2022
354,354,67,635/16,S.................... S/INCIDENTE,15-02-2022
355,355,68,1664/19,S.................... S/MEDIDA CAUTELAR,15-02-2022
356,356,69,646/19,S.................... S/PROTECCION INTEGRAL,15-02-2022
