,Orden,Expediente,Caratula,Fecha,Proceso
61,62,617/17,S.................... S/VIOLENCIA FAMILIAR (DENUNCIA,17-12-2021,VIOLENCIA FAMILIAR (DENUNCIA
62,63,01/14,S.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,17-12-2021,VIOLENCIA FAMILIAR (DENUNCIAS-
63,64,1750/19,T.................... S/DIVORCIO,17-12-2021,DIVORCIO
64,65,478/17,V.................... S/VIOLENCIA FAMILIAR (DENUNCIA,17-12-2021,VIOLENCIA FAMILIAR (DENUNCIA
65,1,417/20,A.................... S/CONTROL DE LEGALIDAD,02-02-2022,CONTROL DE LEGALIDAD
66,2,371/20,A.................... S/PROTECCION INTEGRAL,02-02-2022,PROTECCION INTEGRAL
67,3,264/20,A.................... S/VIOLENCIA FAMILIAR,02-02-2022,VIOLENCIA FAMILIAR
68,4,398/20,B.................... S/VIOLENCIA FAMILIAR,02-02-2022,VIOLENCIA FAMILIAR
69,5,373/21-S,C.................... S/CONTROL DE LEGALIDAD,02-02-2022,CONTROL DE LEGALIDAD
70,6,11/20,C.................... S/ELEVA ACTUACIONES,02-02-2022,ELEVA ACTUACIONES
71,7,668/18,C.................... S/ELEVA ACTUACIONES,02-02-2022,ELEVA ACTUACIONES
72,8,1385/18,D.................... S/VIOLENCIA FAMILIAR,02-02-2022,VIOLENCIA FAMILIAR
73,9,263/21-S,G.................... S/VIOLENCIA DE GENERO,02-02-2022,VIOLENCIA DE GENERO
74,10,73/20,G.................... S/VIOLENCIA FAMILIAR,02-02-2022,VIOLENCIA FAMILIAR
75,11,238/18,G.................... S/VIOLENCIA FAMILIAR (DENUNCIA,02-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
76,12,231/20,J.................... S/ELEVA ACTUACIONES,02-02-2022,ELEVA ACTUACIONES
77,13,904/20,J.................... S/VIOLENCIA DE GENERO,02-02-2022,VIOLENCIA DE GENERO
78,14,266/17,K.................... S/VIOLENCIA FAMILIAR (DENUNCIA,02-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
79,15,355/21-S,M.................... S/PROTECCION INTEGRAL,02-02-2022,PROTECCION INTEGRAL
80,16,617/20,M.................... S/VIOLENCIA FAMILIAR,02-02-2022,VIOLENCIA FAMILIAR
81,17,130/21-S,N.................... S/PRESENTACION,02-02-2022,PRESENTACION
82,18,182/20,N.................... S/VIOLENCIA FAMILIAR (DENUNCIA,02-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
83,19,754/16,S.................... S/VIOLENCIA FAMILIAR (DENUNCIA,02-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
84,20,362/20,T.................... S/CONTROL DE LEGALIDAD,02-02-2022,CONTROL DE LEGALIDAD
85,1,330/03,A.................... S/.FILIACION,03-02-2022,.FILIACION
86,2,1072/14,A.................... S/ALIMENTOS,03-02-2022,ALIMENTOS
87,3,466/19,A.................... S/ALIMENTOS,03-02-2022,ALIMENTOS
88,4,570/17,A.................... S/ALIMENTOS,03-02-2022,ALIMENTOS
89,5,712/19,A.................... S/MEDIDA CAUTELAR,03-02-2022,MEDIDA CAUTELAR
90,6,828/19,A.................... S/VIOLENCIA FAMILIAR,03-02-2022,VIOLENCIA FAMILIAR
91,7,08/20,A.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,03-02-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
92,8,1238/19,B.................... S/ALIMENTOS,03-02-2022,ALIMENTOS
93,9,534/18,B.................... S/INCIDENTE,03-02-2022,INCIDENTE
94,10,1189/19,C.................... S/ALIMENTOS,03-02-2022,ALIMENTOS
95,11,11/20,C.................... S/ELEVA ACTUACIONES,03-02-2022,ELEVA ACTUACIONES
96,12,630/20,C.................... S/ELEVA ACTUACIONES,03-02-2022,ELEVA ACTUACIONES
97,13,668/18,C.................... S/ELEVA ACTUACIONES,03-02-2022,ELEVA ACTUACIONES
98,14,537/18,C.................... S/PROTECCION DE PERSONA,03-02-2022,PROTECCION DE PERSONA
99,15,230/20,C.................... S/VIOLENCIA FAMILIAR,03-02-2022,VIOLENCIA FAMILIAR
100,16,1924/18,C.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
101,17,259/21-C,D.................... S/ALIMENTOS,03-02-2022,ALIMENTOS
102,18,332/21-C,D.................... S/EJECUCION DE HONORARIOS,03-02-2022,EJECUCION DE HONORARIOS
103,19,269/06-JC,F.................... S/.FILIACION,03-02-2022,.FILIACION
104,20,524/16,F.................... S/FILIACION Y DAÑO MORAL,03-02-2022,FILIACION Y DAÑO MORAL
105,21,290/21-C,F.................... S/HOMOLOGACION DE CONVENIO,03-02-2022,HOMOLOGACION DE CONVENIO
106,22,280/20,F.................... S/RECTIFICACION DE PARTIDA,03-02-2022,RECTIFICACION DE PARTIDA
107,23,11/17,F.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
108,24,281/21-C,G.................... S/LIQUIDACION SOCIEDAD CONYUGAL,03-02-2022,LIQUIDACION SOCIEDAD CONYUGAL
109,25,365/21-S,J.................... S/ELEVA ACTUACIONES,03-02-2022,ELEVA ACTUACIONES
110,26,570/20,J.................... S/ELEVA ACTUACIONES,03-02-2022,ELEVA ACTUACIONES
111,27,1321/18,K.................... S/BENEFICIO DE LITIGAR SIN GASTOS,03-02-2022,BENEFICIO DE LITIGAR SIN GASTOS
112,28,924/18,K.................... S/FILIACION,03-02-2022,FILIACION
113,29,06/20,K.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
114,30,1499/19,L.................... S/BENEFICIO DE LITIGAR SIN GASTOS,03-02-2022,BENEFICIO DE LITIGAR SIN GASTOS
115,31,662/20,L.................... S/CONTROL DE LEGALIDAD,03-02-2022,CONTROL DE LEGALIDAD
116,32,873/20,L.................... S/CONTROL DE LEGALIDAD,03-02-2022,CONTROL DE LEGALIDAD
117,33,811/19,L.................... S/FILIACION,03-02-2022,FILIACION
118,34,280/21-C,L.................... S/INCIDENTE DE CESACION DE CUOTA,03-02-2022,INCIDENTE DE CESACION DE CUOTA
119,35,1452/19,L.................... S/INCIDENTE DE MODIFICACION DE,03-02-2022,INCIDENTE DE MODIFICACION DE
120,36,1241/19,M.................... S/ADOPCION SIMPLE,03-02-2022,ADOPCION SIMPLE
121,37,864/20,M.................... S/MEDIDA CAUTELAR,03-02-2022,MEDIDA CAUTELAR
122,38,1002/19,N.................... S/HOMOLOGACION DE CONVENIO,03-02-2022,HOMOLOGACION DE CONVENIO
123,39,985/20,P.................... S/DIVORCIO,03-02-2022,DIVORCIO
124,40,306/21-C,P.................... S/MEDIDA CAUTELAR,03-02-2022,MEDIDA CAUTELAR
125,41,678/19,P.................... S/PROTECCION INTEGRAL,03-02-2022,PROTECCION INTEGRAL
126,42,1192/16,P.................... S/VIOLENCIA FAMILIAR (DENUNCIA,03-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
127,43,852/14,Q.................... S/FILIACION Y DAÑO MORAL,03-02-2022,FILIACION Y DAÑO MORAL
128,44,1983/18,R.................... S/GUARDA JUDICIAL,03-02-2022,GUARDA JUDICIAL
129,45,02/22-S,R.................... S/VIOLENCIA DE GENERO,03-02-2022,VIOLENCIA DE GENERO
130,46,703/20,R.................... S/VIOLENCIA DE GENERO,03-02-2022,VIOLENCIA DE GENERO
131,47,1547/18,R.................... S/VIOLENCIA FAMILIAR,03-02-2022,VIOLENCIA FAMILIAR
132,48,873/13,R.................... S/VIOLENCIA FAMILIAR (ART.61 COD. DE,03-02-2022,VIOLENCIA FAMILIAR (ART.61 COD. DE
133,49,1187/13,S.................... S/ALIMENTOS,03-02-2022,ALIMENTOS
134,50,776/12,S.................... S/DIVORCIO VINCULAR POR MUTUO,03-02-2022,DIVORCIO VINCULAR POR MUTUO
135,51,61/14,S.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,03-02-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
136,52,46/16,V.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,03-02-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
137,53,1732/19,Z.................... S/DIVORCIO,03-02-2022,DIVORCIO
138,1,623/06 JC,A.................... S/.DECLARACION DE INCAPACIDAD,09-02-2022,.DECLARACION DE INCAPACIDAD
139,2,930/06-JC,A.................... S/.JUICIO DE INCAPACIDAD,09-02-2022,.JUICIO DE INCAPACIDAD
140,3,1218/18,A.................... S/GUARDA JUDICIAL,09-02-2022,GUARDA JUDICIAL
141,4,238/20,A.................... S/HOMOLOGACION DE CONVENIO,09-02-2022,HOMOLOGACION DE CONVENIO
142,5,380/21-C,A.................... S/MEDIDA CAUTELAR,09-02-2022,MEDIDA CAUTELAR
143,6,11/22-S,A.................... S/PROTECCION INTEGRAL,09-02-2022,PROTECCION INTEGRAL
144,7,378/05-JC,B.................... S/.JUICIO DE INCAPACIDAD,09-02-2022,.JUICIO DE INCAPACIDAD
145,8,165/20,C.................... S/ELEVA ACTUACIONES,09-02-2022,ELEVA ACTUACIONES
146,9,376/20,C.................... S/ELEVA ACTUACIONES,09-02-2022,ELEVA ACTUACIONES
147,10,390/16,C.................... S/ELEVA ACTUACIONES,09-02-2022,ELEVA ACTUACIONES
148,11,787/20,C.................... S/ELEVA ACTUACIONES,09-02-2022,ELEVA ACTUACIONES
149,12,719/18,C.................... S/IMPUGNACION DE PATERNIDAD,09-02-2022,IMPUGNACION DE PATERNIDAD
150,13,451/16,C.................... S/INCIDENTE,09-02-2022,INCIDENTE
151,14,467/16,C.................... S/INCIDENTE,09-02-2022,INCIDENTE
152,15,530/06-JC,D.................... S/.JUICIO DE INCAPACIDAD,09-02-2022,.JUICIO DE INCAPACIDAD
153,16,1160/17,D.................... S/EJECUCION DE SENTENCIA,09-02-2022,EJECUCION DE SENTENCIA
154,17,120/21-S,D.................... S/PROTECCION INTEGRAL,09-02-2022,PROTECCION INTEGRAL
155,18,832/05-JC,E.................... S/.JUICIO DE INCAPACIDAD,09-02-2022,.JUICIO DE INCAPACIDAD
156,19,533/06-JC,F.................... S/.JUICIO DE INCAPACIDAD,09-02-2022,.JUICIO DE INCAPACIDAD
157,20,1045/16,F.................... S/VIOLENCIA FAMILIAR (DENUNCIA,09-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
158,21,254/17,G.................... S/INCIDENTE,09-02-2022,INCIDENTE
159,22,374/14,G.................... S/INCIDENTE,09-02-2022,INCIDENTE
160,23,433/16,G.................... S/INCIDENTE,09-02-2022,INCIDENTE
161,24,306/21-S,G.................... S/VIOLENCIA DE GENERO,09-02-2022,VIOLENCIA DE GENERO
162,25,124/20,J.................... S/ELEVA ACTUACIONES,09-02-2022,ELEVA ACTUACIONES
163,26,680/20,J.................... S/ELEVA ACTUACIONES,09-02-2022,ELEVA ACTUACIONES
164,27,1518/19,M.................... S/HOMOLOGACION DE CONVENIO,09-02-2022,HOMOLOGACION DE CONVENIO
165,28,365/20,M.................... S/VIOLENCIA FAMILIAR,09-02-2022,VIOLENCIA FAMILIAR
166,29,307/20,M.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,09-02-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
167,30,455/16,R.................... S/INCIDENTE,09-02-2022,INCIDENTE
168,31,107/21-C,R.................... S/MEDIDA CAUTELAR,09-02-2022,MEDIDA CAUTELAR
169,32,839/18,R.................... S/PROTECCION INTEGRAL,09-02-2022,PROTECCION INTEGRAL
170,33,02/22-S,R.................... S/VIOLENCIA DE GENERO,09-02-2022,VIOLENCIA DE GENERO
171,34,435/06-JC,S.................... S/.DECLARACION DE INCAPACIDAD,09-02-2022,.DECLARACION DE INCAPACIDAD
172,35,964/06-JC,S.................... S/.DECLARACION DE INCAPACIDAD,09-02-2022,.DECLARACION DE INCAPACIDAD
173,36,370/21-S,S.................... S/VIOLENCIA DE GENERO,09-02-2022,VIOLENCIA DE GENERO
174,37,617/17,S.................... S/VIOLENCIA FAMILIAR (DENUNCIA,09-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
175,38,185/21-S,V.................... S/PROTECCION INTEGRAL,09-02-2022,PROTECCION INTEGRAL
176,39,532/17,V.................... S/VIOLENCIA FAMILIAR,09-02-2022,VIOLENCIA FAMILIAR
177,40,370/19,Y.................... S/DECLARACION DE ADOPTABILIDAD,09-02-2022,DECLARACION DE ADOPTABILIDAD
178,1,853/20,A.................... S/INCIDENTE DE CESACION DE CUOTA,10-02-2022,INCIDENTE DE CESACION DE CUOTA
179,2,1158/15,A.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,10-02-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
180,3,469/06-JC,B.................... S/.DECLARACION DE INCAPACIDAD,10-02-2022,.DECLARACION DE INCAPACIDAD
181,4,1628/18,B.................... S/CARTA DE POBREZA,10-02-2022,CARTA DE POBREZA
182,5,344/16,B.................... S/DERECHO Y DEBER DE COMUNICACION,10-02-2022,DERECHO Y DEBER DE COMUNICACION
183,6,184/21-C,B.................... S/EJECUCION DE SENTENCIA,10-02-2022,EJECUCION DE SENTENCIA
184,7,435/16,B.................... S/INCIDENTE,10-02-2022,INCIDENTE
185,8,639/20,C.................... S/DIVORCIO,10-02-2022,DIVORCIO
186,9,18/22-S,C.................... S/ELEVA ACTUACIONES,10-02-2022,ELEVA ACTUACIONES
187,10,1087/19,C.................... S/HOMOLOGACION DE CONVENIO,10-02-2022,HOMOLOGACION DE CONVENIO
188,11,176/16,C.................... S/INCIDENTE,10-02-2022,INCIDENTE
189,12,09/22-S,C.................... S/VIOLENCIA DE GENERO,10-02-2022,VIOLENCIA DE GENERO
190,13,663/18,C.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,10-02-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
191,14,1502/19,D.................... S/DECLARACION DE ADOPTABILIDAD,10-02-2022,DECLARACION DE ADOPTABILIDAD
192,15,20/22-S,D.................... S/ELEVA ACTUACIONES,10-02-2022,ELEVA ACTUACIONES
193,16,240/21-OF,D.................... S/OFICIO,10-02-2022,OFICIO
194,17,148/19,F.................... S/DECLARACION DE ADOPTABILIDAD,10-02-2022,DECLARACION DE ADOPTABILIDAD
195,18,290/21-C,F.................... S/HOMOLOGACION DE CONVENIO,10-02-2022,HOMOLOGACION DE CONVENIO
196,19,1790/18,F.................... S/PROTECCION INTEGRAL,10-02-2022,PROTECCION INTEGRAL
197,20,21/22-S,F.................... S/PROTECCION INTEGRAL,10-02-2022,PROTECCION INTEGRAL
198,21,202/20,G.................... S/VIOLENCIA FAMILIAR,10-02-2022,VIOLENCIA FAMILIAR
199,22,304/20,G.................... S/VIOLENCIA FAMILIAR,10-02-2022,VIOLENCIA FAMILIAR
200,23,238/18,G.................... S/VIOLENCIA FAMILIAR (DENUNCIA,10-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
201,24,1309/18,H.................... S/INCIDENTE,10-02-2022,INCIDENTE
202,25,604/05-JC,I.................... S/.JUICIO DE INCAPACIDAD,10-02-2022,.JUICIO DE INCAPACIDAD
203,26,767/04,J.................... S/.DECLARACION DE INCAPACIDAD,10-02-2022,.DECLARACION DE INCAPACIDAD
204,27,27/22-S,J.................... S/VIOLENCIA DE GENERO,10-02-2022,VIOLENCIA DE GENERO
205,28,904/20,J.................... S/VIOLENCIA DE GENERO,10-02-2022,VIOLENCIA DE GENERO
206,29,266/17,K.................... S/VIOLENCIA FAMILIAR (DENUNCIA,10-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
207,30,246/21-C,L.................... S/INCIDENTE DE REMOCION DE CURADOR,10-02-2022,INCIDENTE DE REMOCION DE CURADOR
208,31,03/22-S,L.................... S/VIOLENCIA DE GENERO,10-02-2022,VIOLENCIA DE GENERO
209,32,10/22-S,L.................... S/VIOLENCIA FAMILIAR,10-02-2022,VIOLENCIA FAMILIAR
210,33,1005/15,M.................... S/ALIMENTOS,10-02-2022,ALIMENTOS
211,34,120/18,M.................... S/ALIMENTOS,10-02-2022,ALIMENTOS
212,35,848/20,M.................... S/CONTROL DE LEGALIDAD,10-02-2022,CONTROL DE LEGALIDAD
213,36,341/21-C,N.................... S/MEDIDA CAUTELAR,10-02-2022,MEDIDA CAUTELAR
214,37,1970/18,O.................... S/DIVORCIO,10-02-2022,DIVORCIO
215,38,803/20,P.................... S/VIOLENCIA DE GENERO,10-02-2022,VIOLENCIA DE GENERO
216,39,19/22-S,Q.................... S/PROTECCION INTEGRAL,10-02-2022,PROTECCION INTEGRAL
217,40,28/22-S,Q.................... S/PROTECCION INTEGRAL,10-02-2022,PROTECCION INTEGRAL
218,41,1756/19,Q.................... S/VIOLENCIA FAMILIAR,10-02-2022,VIOLENCIA FAMILIAR
219,42,142/21-C,R.................... S/BENEFICIO DE LITIGAR SIN GASTOS,10-02-2022,BENEFICIO DE LITIGAR SIN GASTOS
220,43,252/21-C,R.................... S/MEDIDA CAUTELAR,10-02-2022,MEDIDA CAUTELAR
221,44,1517/18,R.................... S/VIOLENCIA FAMILIAR (DENUNCIA,10-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
222,45,639/06-JC,S.................... S/.DECLARACION DE INCAPACIDAD,10-02-2022,.DECLARACION DE INCAPACIDAD
223,46,17/22-C,S.................... S/HOMOLOGACION DE CONVENIO,10-02-2022,HOMOLOGACION DE CONVENIO
224,47,457/16,S.................... S/INCIDENTE,10-02-2022,INCIDENTE
225,48,805/16,S.................... S/INCIDENTE,10-02-2022,INCIDENTE
226,49,1148/18,S.................... S/PROTECCION INTEGRAL,10-02-2022,PROTECCION INTEGRAL
227,50,611/06-JC,S.................... S/RESTRICCION DE LA CAPACIDAD,10-02-2022,RESTRICCION DE LA CAPACIDAD
228,51,604/20,S.................... S/VIOLENCIA DE GENERO,10-02-2022,VIOLENCIA DE GENERO
229,52,354/20,S.................... S/VIOLENCIA FAMILIAR,10-02-2022,VIOLENCIA FAMILIAR
230,53,619/20,S.................... S/VIOLENCIA FAMILIAR,10-02-2022,VIOLENCIA FAMILIAR
231,54,788/20,V.................... S/DIVORCIO,10-02-2022,DIVORCIO
232,1,14/22-S,A.................... S/CONTROL DE LEGALIDAD,14-02-2022,CONTROL DE LEGALIDAD
233,2,280/21-S,A.................... S/CONTROL DE LEGALIDAD,14-02-2022,CONTROL DE LEGALIDAD
234,3,312/21-S,A.................... S/CONTROL DE LEGALIDAD,14-02-2022,CONTROL DE LEGALIDAD
235,4,556/19,A.................... S/INCIDENTE,14-02-2022,INCIDENTE
236,5,37/22-S,A.................... S/PROTECCION INTEGRAL,14-02-2022,PROTECCION INTEGRAL
237,6,36/22-S,A.................... S/VIOLENCIA DE GENERO,14-02-2022,VIOLENCIA DE GENERO
238,7,146/20,A.................... S/VIOLENCIA FAMILIAR,14-02-2022,VIOLENCIA FAMILIAR
239,8,1673/18,A.................... S/VIOLENCIA FAMILIAR,14-02-2022,VIOLENCIA FAMILIAR
240,9,1009/17,A.................... S/VIOLENCIA FAMILIAR (ART.61 COD. DE,14-02-2022,VIOLENCIA FAMILIAR (ART.61 COD. DE
241,10,796/20,C.................... S/ELEVA ACTUACIONES,14-02-2022,ELEVA ACTUACIONES
242,11,989/19,C.................... S/ELEVA ACTUACIONES,14-02-2022,ELEVA ACTUACIONES
243,12,1159/16,C.................... S/INCIDENTE,14-02-2022,INCIDENTE
244,13,1160/16,C.................... S/INCIDENTE,14-02-2022,INCIDENTE
245,14,1242/19,C.................... S/INCIDENTE,14-02-2022,INCIDENTE
246,15,200/16,C.................... S/INCIDENTE,14-02-2022,INCIDENTE
247,16,40/22-S,C.................... S/PROTECCION INTEGRAL,14-02-2022,PROTECCION INTEGRAL
248,17,831/19,C.................... S/VIOLENCIA FAMILIAR,14-02-2022,VIOLENCIA FAMILIAR
249,18,429/19,C.................... S/VIOLENCIA FAMILIAR (DENUNCIA,14-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
250,19,1889/19,D.................... S/EJECUCION DE HONORARIOS,14-02-2022,EJECUCION DE HONORARIOS
251,20,53/21-C,D.................... S/EJECUCION DE HONORARIOS,14-02-2022,EJECUCION DE HONORARIOS
252,21,15/22-S,D.................... S/ELEVA ACTUACIONES,14-02-2022,ELEVA ACTUACIONES
253,22,02/22-OF,D.................... S/OFICIO,14-02-2022,OFICIO
254,23,03/22-OF,D.................... S/OFICIO,14-02-2022,OFICIO
255,24,01/22-C,D.................... S/PRESENTACION,14-02-2022,PRESENTACION
256,25,637/16,F.................... S/INCIDENTE,14-02-2022,INCIDENTE
257,26,639/16,F.................... S/INCIDENTE,14-02-2022,INCIDENTE
258,27,320/21-S,F.................... S/VIOLENCIA DE GENERO,14-02-2022,VIOLENCIA DE GENERO
259,28,597/20,F.................... S/VIOLENCIA FAMILIAR,14-02-2022,VIOLENCIA FAMILIAR
260,29,803/16,F.................... S/VIOLENCIA FAMILIAR (DENUNCIA,14-02-2022,VIOLENCIA FAMILIAR (DENUNCIA
261,30,636/16,G.................... S/INCIDENTE,14-02-2022,INCIDENTE
262,31,26/22-S,G.................... S/VIOLENCIA DE GENERO,14-02-2022,VIOLENCIA DE GENERO
263,32,912/20,G.................... S/VIOLENCIA FAMILIAR,14-02-2022,VIOLENCIA FAMILIAR
264,33,1253/18,I.................... S/PROTECCION INTEGRAL,14-02-2022,PROTECCION INTEGRAL
